Token,Coefficient
anthology,0.0
anthony,0.05
anthos,0.0
anthracis,0.0
anthracite,-0.0
anthracycline,-0.0
anthrax,0.0
anthrogyr,0.0
anthropic,-0.0
anthropogenic,-0.0
anthropologist,0.0
anthropology,-0.0
anthropomorphize,0.0
anti,-0.01
antiage,-0.0
antiaging,0.0
antialgae,0.0
antiallergy,-0.0
antiandrogen,-0.01
antiandrogenic,0.0
antiangiogenesis,-0.0
antiangiogenic,-0.0
antiasthma,-0.0
antibacterial,0.01
antibiotic,0.02
antibiotici,-0.0
antibiotx,0.0
antiblu,0.0
antibodie,-0.01
antibody,-0.06
antibodynsclc,0.0
antiborer,0.0
antibribery,0.0
antibrumm,-0.01
anticancer,-0.02
anticapate,-0.0
antichi,0.0
anticholinergic,0.01
antici,-0.01
anticip,-0.0
anticipate,-0.04
anticipated,0.0
anticipating,-0.0
anticipation,0.0
anticipative,-0.0
anticipatory,0.0
anticipe,0.0
anticiper,0.0
anticipé,0.0
anticipée,0.0
anticipés,0.0
anticlimactic,0.0
anticoagulant,-0.01
anticoagulation,-0.0
anticompetitive,-0.01
anticonvulsant,-0.01
anticorrosion,0.0
anticorrosive,-0.0
anticorruption,-0.0
anticounterfeite,0.0
anticounterfeiting,0.0
anticyclical,-0.0
anticyclically,0.0
anticytokine,-0.0
antidandruff,0.0
antidementia,0.0
antidepressant,-0.0
antidiabetic,-0.0
antidilution,0.0
antidilutive,-0.01
antidiuretic,0.0
antidote,-0.0
antie,-0.0
antiemetic,-0.0
antiepileptic,-0.0
antifibrotic,0.0
antifogge,0.01
antifolate,0.0
antifoule,0.0
antifouling,0.0
antifreeze,-0.0
antifrogen,0.0
antifungal,-0.01
antifungi,0.0
antigen,0.0
antigenic,0.0
antigenics,0.0
antigraffiti,0.0
antigua,0.0
antiguo,0.0
antihistamine,-0.0
antihyperalgesic,0.0
antihypertension,-0.0
antihypertensive,-0.02
antiinfective,0.0
antiinflammatory,-0.0
antil,-0.01
antilia,-0.0
antillais,0.0
antille,0.0
antilles,-0.02
antilodging,0.0
antimagnetic,-0.0
antimagnetism,-0.0
antimalaria,-0.0
antimalarial,0.01
antimicrobial,0.01
antimony,0.0
antimuscarinic,0.0
antinfective,0.0
anting,0.0
antinuclear,-0.0
antiopioid,-0.0
antioxidant,0.02
antiozonant,0.01
antiparasitic,0.0
antiparkinson,-0.0
antipasti,-0.0
antiperspirant,0.0
antipiracy,-0.0
antiplasmin,0.0
antipolis,0.01
antipov,-0.0
antiprogestin,0.0
antiproliferative,0.0
antipsychotic,0.02
antiquated,-0.0
antique,0.0
antiquity,0.0
antiquorum,-0.0
antirabies,0.0
antireflective,-0.0
antiretroviral,-0.0
antirheumatic,-0.01
antisense,0.0
antiseptic,-0.0
antisol,0.0
antisoma,-0.02
antistatic,-0.0
antisticke,0.0
antit,-0.0
antitarnish,0.0
antithrombotic,-0.0
antitnf,-0.0
antitnfα,0.01
antitrust,0.01
antitrypsin,0.01
antitumor,-0.01
antitumour,-0.0
antivir,0.0
antiviral,-0.0
antiwear,0.01
antje,0.0
antle,0.0
antly,0.0
antoci,-0.0
antofagasta,-0.0
antogyr,0.0
antoine,-0.07
antoinette,0.01
antolina,0.0
anton,0.08
antonella,-0.0
antonelli,-0.0
antonello,-0.0
antoneum,0.0
antoni,-0.0
antonia,0.0
antoniade,0.01
antonin,-0.0
antonina,0.0
antonini,-0.0
antonio,0.0
antonios,-0.0
antoniusstraße,-0.0
antonov,-0.0
antony,0.01
antonín,-0.0
antrag,-0.0
antrage,0.0
antrages,-0.0
antragstellung,-0.0
antralux,-0.0
antrat,-0.0
antreten,-0.0
antriabio,-0.0
antrieb,0.0
antriebe,0.0
antrieben,-0.0
antriebs,0.0
antriebsstrang,0.0
antriebssysteme,-0.0
antrim,0.0
antritrust,0.0
antritt,0.0
antropov,-0.0
anträge,-0.01
anträgen,0.0
anttila,0.04
anttilla,0.0
antunes,-0.0
antunovic,-0.0
antus,-0.0
antwerp,0.01
antwerpen,-0.0
antworten,-0.0
antwortkarte,-0.01
antwortlich,0.0
antzuola,0.02
antérieur,-0.0
antérieure,-0.01
antônio,-0.0
antönien,0.0
anual,0.0
anuary,0.06
anuel,-0.0
anuga,-0.0
anugrah,0.0
anuj,0.0
anuja,0.0
anultra,0.0
anumber,-0.01
anundeterminable,-0.0
anup,-0.0
anupcome,-0.0
anurag,0.0
anus,0.0
anver,-0.0
anvertraut,-0.0
anvisa,0.01
anvisierte,0.0
anwaltskanzlei,-0.0
anwaltspatent,-0.0
anwaltspraxis,-0.0
anwaltsprüfungskommission,-0.0
anwander,0.0
anwar,0.0
anwb,0.01
anweisung,-0.0
anweisungen,-0.0
anwendbar,0.0
anwendbare,-0.0
anwendbaren,0.0
anwendbarkeit,0.0
anwender,-0.01
anwenderspezifischer,0.0
anwendung,0.01
anwendungen,0.02
anwendungsbereich,-0.0
anwendungsbereiche,0.0
anwendungsgebiete,-0.0
anwendungsspektrum,0.0
anwendungsspezifisch,-0.01
anwerben,0.0
anwesend,-0.0
anwälte,-0.0
anxi,0.0
anxiety,0.06
anxiolytic,0.01
anxious,-0.01
anxiously,0.0
anya,0.0
anyang,-0.01
anybody,0.0
anybotic,-0.0
anybotics,-0.0
anycast,-0.03
anykyrin,0.0
anymark,-0.0
anymore,-0.01
anyplace,0.0
anyrevisionsto,0.0
anysuch,-0.0
anytime,0.01
anz,-0.0
anza,-0.0
anzahl,-0.01
anzahlungen,-0.0
anzeichen,-0.0
anzeiger,-0.07
anzeigt,0.0
anziehende,-0.0
anzieht,-0.0
anzo,-0.0
anzola,-0.0
anzubieten,-0.0
anzufertigen,0.0
anzugeben,0.01
anzugehen,0.0
anzunehman,-0.0
anzupassen,0.0
anzurechnen,0.0
anzuwenden,0.0
anzuwerben,-0.0
anzuziehen,0.0
análise,0.0
anónima,0.0
ao,-0.07
aoa,0.0
aoc,-0.01
aoci,0.01
aocl,0.0
aod,-0.0
aoi,0.05
aoim,0.0
aok,0.0
aol,-0.03
aon,0.03
aonhewitt,0.0
aooe,0.0
aop,-0.0
aorta,0.0
aosd,0.0
aosept,-0.0
aospine,-0.0
aov,0.0
aoyagi,0.0
aoyama,-0.0
aoz,0.0
août,-0.0
ap,0.11
apa,0.01
apability,0.0
apac,0.06
apace,-0.0
apache,-0.0
apacit,0.0
apaco,0.0
apapa,0.0
apar,-0.0
aparecida,0.0
apart,-0.03
apartado,-0.0
apartament,0.0
apartement,0.0
apartheid,-0.0
apartial,-0.0
aparticipant,0.0
aparticular,0.0
apartment,0.0
apasco,-0.0
apathy,0.0
apax,-0.0
apaxco,-0.0
apb,-0.0
apc,-0.06
apcd,0.0
apcs,0.0
apd,0.0
apdg,0.01
apdo,-0.0
ape,0.0
apear,0.0
apec,-0.0
apel,-0.01
apeldoorn,0.0
apelgamo,-0.0
apelli,-0.0
apen,-0.0
apendice,-0.0
apennine,-0.0
apeo,0.0
aper,0.0
aperam,0.0
aperiod,-0.0
aperiodic,0.0
aperitif,-0.02
apersonal,0.0
aperto,-0.0
aperture,0.0
aperçu,0.01
apetito,-0.0
apeutic,0.0
apeutics,0.0
apex,0.02
apf,-0.0
apfelsaft,0.0
apfelwein,-0.0
apg,0.12
apgmobility,0.0
apgmontagne,0.0
apgtouristic,0.03
apgtraffic,0.02
apgtrafficis,0.0
apgtrafﬁc,-0.01
apgujeong,-0.0
apgvis,0.02
apheresis,-0.0
aphi,0.0
aphid,0.01
aphinant,-0.0
aphinity,0.0
aphinnant,-0.0
aphm,-0.0
aphorism,0.0
aphtenpatch,-0.0
aphthenpatch,-0.0
aphy,0.0
api,0.0
apiapiapiapi,-0.0
apiax,-0.0
apic,0.0
apical,-0.0
apically,0.01
apidc,-0.02
apidly,0.0
apie,-0.0
apil,-0.0
apilot,0.0
apiro,0.0
apis,0.05
apital,-0.0
apixaban,0.0
apk,0.01
apl,0.0
aplastic,0.0
apless,0.0
aplidiag,0.0
aplion,0.0
apm,-0.0
apme,-0.0
apmea,0.01
apnea,0.0
apneas,0.0
apo,0.02
apobank,-0.0
apobox,0.0
apoboxe,0.0
apociii,0.0
apodaca,-0.0
apodan,0.0
apogee,-0.0
apogenix,-0.0
apolate,0.0
apoli,-0.0
apolinar,0.01
apolipoprotein,-0.0
apolis,0.0
apollinaris,-0.0
apollo,0.0
apollohotell,0.0
apollomatkat,0.0
apologetically,0.0
apologise,0.0
apologize,0.0
apology,-0.0
apomab,-0.01
aponetics,-0.0
aponova,-0.01
apoptosis,0.01
apoptotic,0.0
apoquindo,0.0
apostolidis,0.0
apostolo,0.0
apostolos,-0.0
apostroph,0.0
apotek,0.0
apotheke,-0.03
apotheken,0.01
apothekerverband,0.0
apotheosis,-0.0
apoxis,-0.0
app,0.06
appalachian,0.0
appalling,-0.0
apparaissant,0.0
apparate,0.0
apparateanschlüsse,-0.0
apparatebau,-0.0
apparatus,-0.03
apparaître,0.0
appareil,-0.0
apparel,0.01
apparent,-0.01
apparently,-0.01
appartement,0.01
appartenance,0.0
appartenant,0.0
appartiendra,-0.0
appartment,-0.0
apparue,0.0
appdelight,-0.0
appeal,0.01
appealable,-0.0
appealing,0.0
appealingly,0.0
appeals,0.0
appear,0.02
appearance,-0.02
appearence,0.0
appease,-0.0
appel,0.0
appelant,0.0
appeler,-0.0
appellate,-0.0
appellation,-0.0
appellationsgericht,-0.0
appellee,0.0
appelon,0.0
appelée,0.0
appelées,-0.01
appelés,0.0
append,-0.0
appended,0.0
appendice,-0.0
appendicitis,-0.0
appendix,0.11
appendixtemenos,0.0
appendum,-0.0
appenzell,0.01
appenzeller,-0.01
appenzellische,0.0
apper,0.0
appetiser,0.0
appetising,0.0
appetit,-0.0
appetite,-0.0
appetito,0.0
appetizer,-0.0
appl,-0.0
applaud,0.0
applause,0.0
apple,-0.01
applegate,-0.0
applera,-0.01
applesnote,0.0
applesswiss,0.0
applet,-0.0
appli,0.0
appliance,-0.18
applic,-0.0
applica,-0.0
applicability,0.01
applicable,0.06
applicableset,-0.0
applicant,-0.02
applicati,0.0
applicatio,-0.0
application,-0.08
applicationproductiongri,0.0
applicationsmicro,0.0
applicationstranspector,0.0
applicator,-0.01
applie,0.0
applied,-0.01
appliedin,0.0
appliedprospectively,-0.0
appliedscience,0.0
appliedsensor,-0.02
appliedto,-0.0
appliedunder,0.0
applieduniformly,0.0
appliedy,0.0
appliing,-0.01
applikation,0.0
applikationen,0.01
applikationsbereichen,0.0
applikationsinfrastrukturdienstleistungen,-0.0
applin,0.0
appliquait,-0.0
appliquant,0.0
applique,0.0
appliquee,0.0
appliquera,0.0
appliqué,0.0
appliquée,-0.0
appliquées,-0.0
appliqués,0.0
apploximately,0.0
apply,0.16
applying,-0.0
appo,0.0
appoint,-0.03
appointed,-0.0
appointee,0.0
appointer,0.0
appointing,-0.0
appointment,-0.01
appointmentdetail,-0.0
appointmentha,0.0
appointor,-0.01
appoite,0.0
appopriation,0.0
apport,-0.0
apportaient,-0.0
apportant,-0.0
apporte,-0.0
apportent,-0.0
apportez,-0.0
apportion,-0.01
apportionability,0.0
apportionable,-0.0
apportioning,0.0
apportionment,-0.0
apporton,0.0
apporté,0.0
apportées,0.0
apposition,-0.01
appoval,0.0
appove,0.0
appplicable,0.0
appplied,0.0
appprentice,0.0
appprove,0.0
appr,0.0
appraisal,-0.01
appraise,-0.01
appraiser,-0.01
appre,0.0
apprecation,0.0
appreciable,-0.01
appreciably,0.0
appreciate,-0.0
appreciated,-0.0
appreciation,0.1
appreciative,0.0
appreciatively,0.0
appreciaton,0.0
apprehend,0.0
apprehension,0.0
apprehensive,0.0
appren,-0.0
apprenon,-0.0
apprentice,0.02
apprenticeship,0.01
apprenticeshipsat,0.0
apprenticess,-0.0
apprentis,0.0
apprise,-0.0
apprivoiser,0.0
appro,0.01
approach,0.11
approachable,-0.0
approachenable,-0.0
approaching,0.0
approachoverviewoverall,0.0
approbation,0.0
approche,0.0
approches,0.0
approfondi,0.0
approfondie,-0.0
approp,-0.0
appropiate,0.0
appropri,0.0
appropriable,0.0
appropriate,-0.0
appropriated,0.0
appropriately,-0.0
appropriateness,-0.02
appropriateto,0.0
appropriation,-0.06
appropriaton,0.0
approprié,-0.0
appropriée,0.0
appropriées,0.0
appropriés,0.0
approuve,0.0
approuvent,0.0
approuver,0.0
approuveront,0.0
approuvé,0.01
approuvée,0.0
approuvées,0.0
approuvés,0.0
approv,0.0
approvability,0.0
approvable,0.0
approval,0.11
approvalof,0.0
approve,0.13
approved,-0.0
approver,0.0
approves,0.04
approving,0.0
approvisionnement,0.0
approx,0.02
approxi,0.0
approximate,0.01
approximately,0.07
approximatelychf,-0.0
approximatelysix,-0.0
approximating,0.0
approximation,0.0
approximative,0.0
approximatively,0.0
approximativement,0.0
approximatley,0.0
approximatly,-0.0
appréciation,0.0
apprécie,0.0
apprécier,0.0
apprécion,-0.0
appréciées,-0.0
appstore,0.0
appt,0.0
appuntamento,-0.0
appunto,0.0
appurtenance,-0.0
appurtenant,0.0
appuyer,0.0
appuyon,0.0
appyle,0.0
appétit,-0.01
apqp,-0.0
apr,0.02
apra,0.0
aprag,-0.0
apraisal,-0.0
apreciation,0.0
apreciseblueprint,0.0
aprerequisite,0.0
apreva,0.0
aprice,0.01
apricot,0.0
april,0.15
aprile,-0.0
aprilia,-0.0
aprioris,0.01
apriso,-0.0
apro,0.0
aproach,0.0
aprocitentan,0.02
aproduct,0.0
aproduction,-0.0
aprofessional,0.0
aproject,-0.0
apron,0.0
apront,0.0
aproposal,0.0
aproposalby,0.0
aprotinin,-0.0
aproven,-0.0
aproximately,0.0
aprè,-0.0
après,0.0
aprés,-0.0
aps,0.06
apss,0.0
apsy,-0.0
apsys,-0.0
apt,-0.01
aptalis,-0.0
aptamer,0.0
aptargroup,-0.01
aptation,-0.0
aptec,0.0
aptitude,0.0
aptiv,-0.0
aptly,0.0
aptness,0.0
apture,0.0
aptus,0.01
apu,-0.0
apublic,-0.0
apulia,0.0
apulian,0.0
apulien,0.0
apurva,0.0
apy,0.0
apéro,-0.0
aq,0.0
aqa,0.0
aqaba,0.0
aqap,-0.0
aqcuire,0.0
aqeel,-0.0
aqiv,0.0
aqix,-0.0
aqmi,0.0
aqs,-0.0
aqua,-0.01
aquachlor,0.0
aquachronia,-0.0
aquaclean,-0.02
aquacomfort,0.0
aquaculture,0.0
aquadura,-0.0
aquafan,-0.0
aquafluid,-0.0
aquaframe,0.0
aqualen,-0.0
aqualung,-0.0
aqualux,-0.04
aquamarine,-0.0
aquametro,-0.0
aquapark,-0.0
aquapool,0.0
aquarelle,0.0
aquaria,-0.0
aquarium,0.0
aquarius,-0.0
aquashade,0.0
aquashadow,0.0
aquaspace,-0.0
aquastat,0.0
aquatech,0.0
aquaterm,-0.0
aquatherm,-0.0
aquatic,0.01
aquatics,0.0
aquatint,-0.0
aquatrac,0.0
aqueduct,0.0
aqueous,0.0
aquifer,0.0
aquila,-0.0
aquilus,-0.0
aquino,-0.0
aquire,-0.0
aquired,-0.0
aquiree,0.0
aquisition,-0.0
aquisitive,0.0
aquitaine,-0.0
aquivalent,0.0
ar,0.07
ara,-0.01
arab,-0.02
arabella,-0.0
arabesque,-0.0
arabia,0.03
arabian,0.0
arabic,-0.0
arabicdream,-0.0
arabinogalactan,0.02
arable,0.02
arably,0.0
aract,0.0
arad,-0.03
arag,-0.01
aragon,0.0
aragona,-0.01
aragua,0.0
aragón,-0.0
araising,0.0
arajevo,0.0
arajevoba,0.0
arajevobam,0.0
arakaki,0.0
aral,-0.02
araldsen,0.0
aramark,0.0
aramco,0.0
aramid,0.01
aramtermelö,-0.0
arana,-0.01
arandu,0.0
aranesp,0.0
araneta,0.0
arangement,-0.0
aranguren,0.0
aranka,-0.0
aranovych,0.0
aranteed,0.0
aranyaprathet,0.0
aranykéz,-0.0
ararat,-0.0
aras,0.0
arata,-0.0
arate,0.0
arated,0.0
arately,0.01
arath,0.0
aration,0.0
arationofthefinancialstatementsinordertodesignauditproceduresthatareappropriateinthecircumstance,-0.0
araucano,0.0
arauco,-0.0
araujo,0.0
aravaca,0.0
aravena,0.0
aravis,-0.01
araxos,0.0
araya,-0.0
araújo,0.0
araştırma,-0.0
arb,-0.02
arbana,0.01
arbanas,0.01
arbat,-0.0
arbedo,0.0
arbeidsfellesskapet,0.0
arbeit,-0.01
arbeite,-0.01
arbeiten,-0.0
arbeiter,-0.0
arbeitet,-0.01
arbeitete,-0.01
arbeiteten,-0.0
arbeitgeber,-0.0
arbeitgeberbeiträge,-0.0
arbeitgebers,-0.0
arbeitgeberverband,0.01
arbeitnehmer,-0.0
arbeitnehmerbeiträge,-0.0
arbeitsabläufe,-0.0
arbeitsbeginn,-0.0
arbeitsgemeinschaft,0.0
arbeitskollegen,-0.0
arbeitsleistung,-0.0
arbeitsmarkt,0.0
arbeitsmarktzentum,0.0
arbeitsmärkten,0.0
arbeitsplatz,-0.01
arbeitsplätze,-0.0
arbeitsschritt,0.0
arbeitsschritte,0.0
arbeitssicherheit,0.0
arbeitsumfeld,-0.0
arbeitsverhältni,0.0
arbeitsverhältnis,0.0
arbeitsweg,-0.01
arbeitszeit,0.0
arbeitszeiten,-0.0
arbeitung,0.0
arben,-0.0
arbenz,-0.09
arbenzstrasse,-0.0
arber,-0.01
arbib,-0.0
arbiter,-0.01
arbitrage,-0.0
arbitragiste,0.0
arbitral,-0.0
arbitrarily,-0.0
arbitrary,-0.0
arbitration,0.01
arbitrator,-0.0
arbn,0.0
arbois,-0.0
arbomedia,0.0
arbon,-0.01
arbonia,0.41
arboniaannual,0.05
arbonias,0.0
arbonwehave,0.0
arbor,-0.01
arboretum,0.0
arbour,0.01
arc,-0.07
arcade,-0.0
arcaden,-0.0
arcadia,-0.0
arcadium,-0.0
arcangelo,-0.0
arcapta,0.0
arcata,-0.0
arcawax,0.0
arce,-0.01
arcellino,-0.0
arcelor,-0.0
arcelormittal,0.01
arch,0.04
archaeological,0.0
archaeology,0.0
archaic,0.0
archamp,-0.0
archcoating,0.0
arche,-0.0
arched,-0.0
archer,0.0
archery,-0.0
archetypal,0.0
archetypical,-0.0
archi,-0.0
archibald,-0.0
archical,-0.0
archie,0.0
archimedesbaan,0.01
archimica,-0.02
arching,0.0
archipelago,0.0
archiproduct,0.0
architec,0.0
architect,0.02
architecte,0.03
architecten,0.0
architecting,0.0
architectonic,-0.01
architects,0.0
architectur,0.01
architectural,-0.02
architecturale,0.0
architecturally,-0.0
architecture,-0.04
architekt,0.0
architekten,0.01
architektenverein,0.0
architekter,0.0
architektin,0.0
architektonische,0.0
architektur,-0.01
architekturbereich,-0.0
architekturbüro,-0.0
architekturglas,0.0
archiv,-0.0
archival,-0.0
archivbilder,0.0
archive,-0.03
archived,-0.0
archiving,-0.01
archos,0.01
archroma,0.0
archy,-0.0
arci,0.0
arcieri,-0.0
arciinvestment,0.0
arcin,-0.0
arcing,0.0
arclight,-0.0
arco,-0.0
arcobi,-0.0
arcon,0.0
arcondi,-0.0
arcont,-0.0
arcor,0.0
arcos,0.0
arcotec,0.0
arcotempo,-0.0
arcplace,-0.0
arctic,0.01
arctium,-0.0
arcto,-0.0
arcueil,-0.0
arcycling,0.0
ard,-0.01
ardea,0.0
ardebil,-0.0
ardelyx,0.0
arden,-0.0
ardenaci,-0.02
ardenne,-0.0
ardent,-0.0
ardex,0.0
ardian,-0.0
ardisation,0.0
ardise,0.0
ardised,-0.01
ardit,-0.0
ardization,0.0
ardize,0.0
ardized,0.0
ardoise,-0.0
ardor,-0.0
ardous,-0.0
ardship,-0.0
ardsley,0.0
ardu,-0.0
arduous,-0.0
are,-0.0
area,-0.05
areaccrue,0.0
areactive,0.0
aready,0.0
areafascinate,0.0
areal,-0.0
areallocate,0.0
arealready,-0.0
arealso,-0.01
areamong,0.0
areaof,-0.0
areapplie,0.0
arearrange,-0.0
areasea,0.0
areasof,-0.0
areassure,0.0
areavailable,0.0
areawide,0.0
arebank,0.0
arebase,0.0
arebecome,0.0
arebee,0.0
arebeginne,0.0
areblocke,-0.0
areborne,0.0
arebuilt,0.0
arecalculate,0.0
arecancele,0.0
arecapital,-0.0
arecapitalize,0.0
arecautione,0.0
arecollective,0.0
arecompletely,0.0
arecompute,0.0
areconcept,0.0
areconducte,0.0
areconsiderably,0.0
areconsidere,0.0
areconsistently,-0.0
areconvince,0.0
ared,-0.0
aredia,0.0
areequal,-0.0
areestablishe,-0.0
areexclude,0.0
areexpense,0.0
areexploite,-0.0
areg,0.0
aregger,0.0
aregisteredsharehold,0.0
arehedge,-0.0
areia,-0.0
areimpelle,-0.0
areintegrate,0.0
arelaye,0.0
arelighte,0.0
arelogitech,0.0
aremade,0.0
aremainlyassociatedwithpensionliabilitiesandsettlement,-0.0
aremanufactured,0.0
aremeasuredbyreferencetothesarsvestedmultipliedbytheir,0.0
aremeticulously,-0.0
aremonitore,-0.0
arena,-0.09
arenas,-0.0
arenavägen,0.0
arenberg,0.01
arenbergische,0.0
arency,0.0
areness,0.0
arenh,-0.0
areno,0.0
arenon,-0.01
arent,0.0
areobligate,0.0
areonly,-0.0
areplainly,0.0
arepo,0.01
areport,-0.03
arepossible,-0.0
arepotential,-0.0
areprepare,0.0
areprocesse,-0.0
arequipa,-0.0
arerealize,-0.0
arerecorde,-0.0
arereflecte,-0.0
areregulate,0.0
areresponsibilitywe,-0.0
arerestricte,0.0
arerestructure,0.0
ares,-0.01
aresan,-0.0
aresca,-0.0
aresold,0.0
arestate,-0.0
arestrategic,0.0
aresult,-0.0
aretemporarily,-0.01
areto,-0.0
aretsrie,0.0
arette,-0.0
areus,0.01
areuse,0.0
areva,0.01
arevaluation,-0.0
arevalue,0.0
arfinanz,-0.0
arg,0.01
argamassas,0.0
argand,-0.0
argau,0.0
arge,0.01
argen,0.0
argens,0.0
argentaria,0.0
argenteuil,0.02
argentia,0.0
argentina,0.01
argentine,0.0
argentinean,-0.0
argentinia,-0.0
argentinian,0.01
argentinians,0.0
argentinien,0.0
argentum,0.0
argenx,0.01
argeris,0.02
argessa,0.0
arget,0.01
argiculture,0.0
argillite,0.0
argo,-0.01
argobit,0.0
argogroup,0.02
argolida,-0.0
argome,0.0
argomed,-0.0
argon,-0.0
argonaut,-0.0
argos,-0.0
argosy,0.0
argovia,-0.0
argovie,-0.0
arguably,-0.0
argue,0.0
arguing,0.0
argument,-0.01
argumentation,0.01
argumentative,-0.0
argus,0.0
argyle,-0.0
argyou,0.0
ari,-0.0
aria,-0.0
ariable,0.0
arial,0.0
arially,0.0
ariana,0.0
arianarama,-0.0
ariane,0.01
arianespace,0.01
ariangela,-0.0
arianna,-0.0
arianne,-0.0
ariary,-0.0
arias,0.0
ariation,0.0
arica,0.0
aricept,0.0
arid,-0.0
arido,-0.0
arie,0.01
ariel,-0.04
ariella,-0.0
aries,0.0
ariful,0.0
arigor,-0.0
arigorous,-0.0
arijana,-0.0
arily,-0.0
arim,0.01
arimidex,0.0
arimpek,0.04
arin,-0.0
arina,-0.0
arino,-0.0
ario,-0.0
arioli,-0.0
arion,-0.0
arios,0.0
ariosa,0.0
ariosto,0.02
arious,0.0
aris,0.0
arisaig,-0.0
arise,0.04
arisedue,0.0
arises,0.0
arish,0.0
arising,0.01
arison,-0.0
arissu,0.0
aristea,0.0
aristide,0.0
aristocare,0.0
aristocaretm,0.0
aristocracy,-0.0
aristocratic,-0.0
aristotle,0.0
aristoﬂex,0.0
arithmetic,0.0
arithmetical,0.0
arithmetically,-0.0
arity,-0.0
arius,-0.0
ariyaratnam,-0.0
ariyaratne,0.0
ariyathas,-0.0
ariza,-0.0
arizona,-0.03
arizpe,-0.01
arjan,0.0
arjanit,-0.0
arjen,0.0
arjo,0.0
arjowiggin,-0.0
arju,-0.0
arjun,-0.0
ark,-0.0
arkad,-0.0
arkade,-0.0
arkadia,-0.0
arkady,-0.0
arkan,-0.0
arkansa,0.0
arkansas,0.01
arkasi,-0.01
arkema,0.0
arket,0.0
arkete,0.01
arkiv,0.0
arkomon,0.0
arkopal,0.0
arkos,-0.03
arkt,0.0
arkus,-0.0
arkwald,-0.0
arl,-0.0
arla,-0.01
arlanda,0.0
arlandastad,-0.0
arle,-0.0
arlen,0.0
arlesheim,-0.0
arlette,-0.0
arlington,0.0
arlo,-0.0
arlot,-0.0
arluno,0.01
arly,-0.0
arm,-0.0
arma,-0.0
armacell,-0.0
armament,0.01
armamentarium,-0.0
arman,0.0
armand,0.01
armando,0.0
armandus,-0.02
armani,0.0
armasuisse,-0.0
armatec,-0.01
armature,-0.0
armaturen,-0.0
armaturenbrett,-0.0
armazen,0.0
armazém,-0.0
armbruster,-0.01
armchair,0.0
armed,0.01
armedforce,-0.0
armee,-0.0
armeeeinheiten,0.0
armend,-0.0
armenia,0.0
armenian,-0.0
armierungsstahl,0.0
armin,0.01
armistice,-0.01
armoise,0.0
armonipark,-0.0
armored,-0.0
armory,0.0
armoured,-0.0
armpit,0.0
armrest,0.0
armstrong,-0.01
armtm,0.0
armure,0.0
army,-0.01
armyworm,0.0
arn,-0.0
arna,-0.0
arnal,0.0
arnaldo,0.0
arnau,-0.0
arnaud,0.01
arnd,-0.0
arndt,0.04
arne,0.01
arneken,0.0
arner,-0.01
arnet,-0.0
arney,0.0
arnhart,0.0
arnhem,0.01
arnhold,0.0
arni,0.0
arnica,0.0
arnim,-0.01
arning,-0.0
arno,-0.0
arnold,0.01
arnot,-0.0
arnott,0.0
arnottchief,0.0
arnotts,0.0
arnoud,0.08
arnsberg,0.01
arnstadt,0.0
arnulfpark,0.0
arnulfstrasse,0.0
aro,-0.01
aroca,0.0
arocell,0.0
arogya,0.0
aroid,-0.0
arolle,-0.0
aroma,0.01
aromas,-0.0
aromatase,-0.01
aromatherapy,0.0
aromatic,0.0
aromatics,0.0
aromont,0.0
aron,0.0
aroni,-0.0
arora,-0.0
aros,-0.0
arosa,-0.01
arose,-0.0
arosio,-0.0
aroso,-0.0
around,0.0
aroundtenpercent,0.0
arouse,-0.0
arova,-0.03
arp,0.01
arpadné,-0.0
arpagaus,0.0
arpe,0.0
arpida,-0.02
arppreciation,0.0
arpu,0.02
arpus,0.0
arq,-0.0
arqana,-0.01
arqiva,0.0
arque,-0.0
arquint,-0.03
arquitectos,-0.0
arquitectura,-0.0
arqule,-0.03
arr,-0.07
arra,0.0
arrabbiata,-0.0
arragement,0.0
arrahman,-0.0
arrange,0.0
arranged,-0.0
arrangement,0.02
arranger,-0.01
arrangment,0.0
array,-0.01
arrayof,-0.0
arrays,-0.0
arrea,0.0
arrear,-0.02
arrearage,0.01
arrecife,0.0
arreola,0.0
arrest,-0.0
arrester,-0.01
arresting,-0.0
arrestingly,-0.0
arrestor,-0.0
arretxe,0.0
arrhea,0.0
arrhythmia,0.0
arrhythmias,0.0
arrhythmic,-0.0
arrieta,0.0
arrigorriaga,0.0
arris,-0.0
arrisse,-0.0
arrival,0.0
arrive,0.01
arrivent,-0.0
arriver,-0.0
arrivera,0.0
arriveront,0.0
arrivon,0.0
arrivé,0.0
arrière,0.0
arrogance,0.0
arrogant,-0.0
arrogate,-0.0
arrondiert,-0.0
arrondissement,0.0
arround,0.0
arrow,0.0
arrowe,-0.0
arrowhead,-0.0
arroyo,-0.0
arrêts,0.0
arrêté,0.0
ars,0.0
arsegan,-0.0
arsenal,-0.0
arsenale,-0.0
arsenate,0.0
arsenic,0.0
arshad,0.0
arship,-0.0
arsim,-0.01
arsiriy,-0.0
arsizio,-0.0
arslani,-0.01
arst,-0.0
art,0.02
arta,0.0
artacho,0.0
artacker,-0.0
artarmon,0.0
artartartarti,-0.0
artcanal,-0.0
artcurial,-0.01
artdirection,0.0
arte,-0.0
artec,0.01
artecel,0.0
artefact,-0.0
artefatos,-0.0
arteform,-0.0
artela,0.0
artelier,-0.0
artemether,-0.0
